GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-manager,org.dromara.hertzbeat.manager.config,SystemCommandLineRunner,31,50,4,4,10,14,4,3,0,3
hertzbeat-manager,org.dromara.hertzbeat.manager.config,SecurityCorsConfiguration,0,53,0,0,0,13,0,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.config,RestTemplateConfig,0,28,0,0,0,8,0,3,0,3
hertzbeat-manager,org.dromara.hertzbeat.manager.config,SwaggerConfig,0,68,0,0,0,17,0,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.config,SchedulerConfig,0,11,0,0,0,3,0,3,0,3
hertzbeat-manager,org.dromara.hertzbeat.manager.config,JpaAuditorConfig,8,12,3,1,3,5,2,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.config,HeaderRequestInterceptor,18,3,2,0,4,1,2,1,1,1
hertzbeat-manager,org.dromara.hertzbeat.manager.config,AngularErrorViewResolver,105,45,12,0,22,13,11,2,5,2
hertzbeat-manager,org.dromara.hertzbeat.manager.config,AngularErrorViewResolver.HtmlResourceView,20,0,0,0,7,0,3,0,3,0
hertzbeat-manager,org.dromara.hertzbeat.manager.support,GlobalExceptionHandler,239,7,18,0,59,2,22,2,13,2
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler.netty,ManageServer.ManageNettyEventListener,48,6,6,0,12,1,4,1,1,1
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler.netty,ManageServer,158,112,20,0,43,24,20,5,10,5
hertzbeat-manager,org.dromara.hertzbeat.manager.component.alerter,DispatcherAlarm.DispatchTask,80,17,8,2,20,5,6,2,1,2
hertzbeat-manager,org.dromara.hertzbeat.manager.component.alerter,DispatcherAlarm,51,54,6,2,11,13,7,5,4,4
hertzbeat-manager,org.dromara.hertzbeat.manager.service,GeneralConfigService,1,0,0,0,1,0,1,0,1,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service,AvailableAlertDefineInit,31,34,1,3,13,9,1,4,0,3
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,SchedulerProperties.ServerProperties,7,26,0,0,3,10,2,5,2,5
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,ConsistentHash,402,167,59,13,88,35,43,9,11,5
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,ConsistentHash.Node,125,74,23,5,29,20,20,4,6,4
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,ConcurrentTreeMap,28,50,0,0,6,12,2,4,2,4
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,CollectorAndJobScheduler.new CollectResponseEventListener() {...},23,0,2,0,5,0,3,0,2,0
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,CollectorAndJobScheduler.new CollectResponseEventListener() {...},23,0,2,0,5,0,3,0,2,0
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,SchedulerInit,142,64,5,1,29,17,7,4,4,4
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,AssignJobs,350,29,84,0,54,9,68,4,26,4
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,ConsistentHash.DispatchJob,12,0,0,0,2,0,2,0,2,0
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,CollectorAndJobScheduler,830,119,76,8,228,31,57,6,15,6
hertzbeat-manager,org.dromara.hertzbeat.manager.scheduler,SchedulerProperties,0,10,0,0,0,4,0,3,0,3
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,TagController,133,67,19,3,23,17,12,6,1,6
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,SummaryController,0,16,0,0,0,4,0,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,MonitorController,9,150,5,5,2,28,5,8,0,8
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,MetricsController,21,3,2,0,5,1,2,1,1,1
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,I18nController,9,34,7,5,1,6,6,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,AppController,136,61,13,3,29,13,14,5,6,5
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,GeneralConfigController,40,27,5,1,9,6,5,3,2,3
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,AccountController,94,111,11,7,19,23,9,5,1,4
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,CollectorController,125,3,12,0,28,1,14,1,8,1
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,MonitorsController,286,73,43,3,53,19,27,6,4,6
hertzbeat-manager,org.dromara.hertzbeat.manager.controller,NoticeConfigController,132,116,14,6,28,31,14,13,7,10
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,ObsObjectStoreServiceImpl,108,0,2,0,25,0,9,0,8,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AppServiceImpl.JarAppDefineStoreImpl,49,54,0,2,15,10,2,3,2,2
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AbstractImExportServiceImpl.MonitorDTO,355,0,70,0,9,0,56,0,21,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,JsonImExportServiceImpl,41,12,0,0,11,3,3,3,3,3
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AppServiceImpl.LocalFileAppDefineStoreImpl,174,51,26,4,36,14,17,2,2,2
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,ObjectStoreConfigServiceImpl,75,20,3,1,14,8,4,5,2,5
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,JsonImExportServiceImpl.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,SystemGeneralConfigServiceImpl,45,16,8,0,11,5,5,4,1,4
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,SystemGeneralConfigServiceImpl.new TypeReference() {...},0,8,0,0,0,2,0,2,0,2
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,MailGeneralConfigServiceImpl.new TypeReference() {...},8,0,0,0,2,0,2,0,2,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,CollectorServiceImpl,110,3,12,0,25,1,11,1,5,1
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AppServiceImpl,596,496,56,52,137,114,54,28,18,10
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,MonitorServiceImpl.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AbstractGeneralConfigServiceImpl,43,31,0,2,14,9,1,4,1,3
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AppServiceImpl.ObjectStoreAppDefineStoreImpl,85,0,6,0,23,0,10,0,7,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,MonitorServiceImpl,804,1348,128,89,176,298,111,57,20,34
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,ObjectStoreConfigServiceImpl.new TypeReference() {...},8,0,0,0,2,0,2,0,2,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,YamlImExportServiceImpl,40,9,0,0,10,3,3,3,3,3
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AbstractImExportServiceImpl.ExportMonitorDTO,195,0,38,0,5,0,32,0,13,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AbstractImExportServiceImpl.ParamDTO,155,0,30,0,4,0,26,0,11,0
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,ExcelImExportServiceImpl,783,9,61,0,165,3,40,3,9,3
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,MailServiceImpl,38,189,5,5,7,36,6,3,1,3
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,MailGeneralConfigServiceImpl,5,7,0,0,1,3,1,2,1,2
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,NoticeConfigServiceImpl,111,431,34,28,19,108,28,31,4,24
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,TagServiceImpl,30,45,4,2,5,12,5,7,3,6
hertzbeat-manager,org.dromara.hertzbeat.manager.service.impl,AbstractImExportServiceImpl,224,7,10,0,55,2,15,2,10,2
hertzbeat-manager,org.dromara.hertzbeat.manager.component.alerter.impl,WeWorkAppAlertNotifyHandlerImpl.WeChatAppDTO.WeChatAppDTOBuilder,72,0,0,0,1,0,10,0,10,0
hertzbeat-manager,org.dromara.hertzbeat.manager.component.alerter.impl,SlackAlertNotifyHandlerImpl.SlackNotifyDTO.SlackNotifyDTOBuilder,18,0,0,0,1,0,4,0,4,0
hertzbeat-manager,org.dromara.hertzbeat.manager.component.alerter.impl,DbAlertStoreHandlerImpl,101,13,24,0,23,2,13,2,1,2
