GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,DataStorageDispatch,161,0,24,0,43,0,20,0,8,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage,1403,0,144,0,270,0,85,0,13,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryJpaDatabaseDataStorage,585,0,40,0,147,0,34,0,12,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryInfluxdbDataStorage,874,0,92,0,163,0,63,0,17,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryIotDbDataStorage,1157,0,118,0,226,0,76,0,17,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,RealTimeMemoryDataStorage,131,0,14,0,28,0,16,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsQueryContent.VictoriaMetricsQueryContentBuilder,27,0,0,0,1,0,5,0,5,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,RealTimeRedisDataStorage,200,0,20,0,49,0,19,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,MetricsDataRedisCodec,31,0,0,0,9,0,6,0,6,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryGrepTimeDbDataStorage,1153,0,106,0,254,0,66,0,13,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsQueryContent.ContentData,115,0,20,0,5,0,19,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsQueryContent,119,0,20,0,6,0,20,0,10,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryInfluxdbDataStorage.new X509TrustManager() {...},8,0,0,0,4,0,4,0,4,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsContent.VictoriaMetricsContentBuilder,38,0,0,0,1,0,6,0,6,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsQueryContent.ContentData.Content,144,0,22,0,6,0,22,0,11,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,AbstractHistoryDataStorage,6,4,0,0,2,1,2,1,2,1
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryTdEngineDataStorage,976,0,98,0,214,0,59,0,10,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,AbstractRealTimeDataStorage,6,4,0,0,2,1,2,1,2,1
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.store,HistoryVictoriaMetricsDataStorage.VictoriaMetricsContent,134,0,16,0,7,0,20,0,12,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.EntranceProperties.KafkaProperties,37,0,0,0,15,0,9,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseAutoConfiguration,3,0,0,0,1,0,1,0,1,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.JpaProperties,34,0,0,0,13,0,7,0,7,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.EntranceProperties,10,0,0,0,4,0,3,0,3,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.GreptimeProperties,37,0,0,0,15,0,9,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.IotDbProperties,83,0,0,0,34,0,21,0,21,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties,59,0,0,0,25,0,17,0,17,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,IotDbVersion,15,0,0,0,3,0,1,0,1,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.TdEngineProperties,57,0,0,0,23,0,13,0,13,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.InfluxdbProperties,54,0,0,0,22,0,13,0,13,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.MemoryProperties,24,0,0,0,9,0,5,0,5,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.RedisProperties,52,0,0,0,20,0,11,0,11,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties,17,0,0,0,7,0,5,0,5,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.config,WarehouseProperties.StoreProperties.VictoriaMetricsProperties,37,0,0,0,15,0,9,0,9,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.controller,MetricsDataController,127,192,20,14,30,48,16,9,3,5
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse.service,WarehouseServiceImpl,44,0,6,0,17,0,7,0,4,0
hertzbeat-warehouse,org.dromara.hertzbeat.warehouse,WarehouseWorkerPool,9,42,0,0,2,13,1,4,1,4
